epoch,loss,lr,val_loss
0,0.00030471821082755923,1e-04,0.0002988219785038382
1,0.00029780383920297027,1e-04,0.0002971769426949322
2,0.0002957190154120326,1e-04,0.0002956429962068796
3,0.00029179826378822327,1e-04,0.00029355613514781
4,0.0002854972262866795,1e-04,0.00028906785883009434
5,0.0002759990165941417,1e-04,0.00029241424635984004
6,0.0002644407213665545,1e-04,0.0002823401300702244
7,0.0002501893904991448,1e-04,0.0002786058175843209
8,0.0002303371438756585,1e-04,0.00027652335120365024
9,0.00020849065913353115,1e-04,0.0002753100707195699
10,0.0001894608576549217,1e-04,0.00027286974363960326
11,0.00016688388132024556,1e-04,0.00026851255097426474
12,0.00014997791731730103,1e-04,0.0002765038807410747
13,0.0001342105388175696,1e-04,0.00027123672771267593
14,0.00011750858539016917,1e-04,0.0002647276851348579
15,0.00010448530520079657,1e-04,0.00026966974837705493
16,9.129635873250663e-05,1e-04,0.00027261246577836573
17,8.23308655526489e-05,1e-04,0.0002703494974412024
18,6.983022467466071e-05,1e-04,0.0002640787570271641
19,6.562915223184973e-05,1e-04,0.0002686391235329211
20,5.092666469863616e-05,5e-05,0.00026979477843269706
21,4.5934411900816485e-05,5e-05,0.000266016781097278
22,4.2609153751982376e-05,5e-05,0.00026842678198590875
23,3.990229743067175e-05,5e-05,0.00026498394436202943
24,3.8006728573236614e-05,5e-05,0.00027441754355095327
25,3.612929504015483e-05,5e-05,0.00026346667436882854
26,3.4151576983276755e-05,5e-05,0.0002766723628155887
27,3.22457890433725e-05,5e-05,0.0002672129776328802
28,3.1385632610181347e-05,5e-05,0.0002696693118195981
29,2.9574084692285396e-05,5e-05,0.00026588767650537193
30,2.852522266039159e-05,5e-05,0.00026984940632246435
31,2.6139647161471657e-05,2.5e-05,0.00026890746084973216
32,2.588344068499282e-05,2.5e-05,0.00027062796289101243
33,2.5068557079066522e-05,2.5e-05,0.00026749380049295723
34,2.4968325305962935e-05,2.5e-05,0.00027041934663429856
35,2.4482000299030915e-05,2.5e-05,0.00026913287001661956
