epoch,loss,lr,val_loss
0,0.0003128735115751624,1e-04,0.0002992921508848667
1,0.00029855684260837734,1e-04,0.0002980814315378666
2,0.0002974364615511149,1e-04,0.00029710354283452034
3,0.0002956071402877569,1e-04,0.0002949617337435484
4,0.00029350267141126096,1e-04,0.0002933535724878311
5,0.0002913712814915925,1e-04,0.00029256142443045974
6,0.00028956783353351057,1e-04,0.0002918288519140333
7,0.00028816694975830615,1e-04,0.00028990890132263303
8,0.0002862265391740948,1e-04,0.00028847603243775666
9,0.00028465743525885046,1e-04,0.0002868787560146302
10,0.0002819474902935326,1e-04,0.00028470801771618426
11,0.00027878908440470695,1e-04,0.00028245517751201987
12,0.0002739728952292353,1e-04,0.00028041511541232467
13,0.0002679866156540811,1e-04,0.00027436012169346213
14,0.00025985619868151844,1e-04,0.0002726850507315248
15,0.0002492048079147935,1e-04,0.0002641365281306207
16,0.00023922555556055158,1e-04,0.0002602332679089159
17,0.00023026313283480704,1e-04,0.00025513966102153063
18,0.00022005643404554576,1e-04,0.0002468735910952091
19,0.00020744554058182985,1e-04,0.00024303312238771468
20,0.00019866632646881044,1e-04,0.00023637557751499116
21,0.00018874648958444595,1e-04,0.0002347603440284729
22,0.00017863839457277209,1e-04,0.0002323838125448674
23,0.00017089121683966368,1e-04,0.00023572162899654359
24,0.00016405800124630332,1e-04,0.0002247645752504468
25,0.0001578042283654213,1e-04,0.00022812793031334877
26,0.00015191393322311342,1e-04,0.0002198713627876714
27,0.0001472578151151538,1e-04,0.00022127569536678493
28,0.00014133586955722421,1e-04,0.0002201473107561469
29,0.00013571255840361118,1e-04,0.0002199741720687598
30,0.00012980768224224448,1e-04,0.00021826503507327288
31,0.00012536633585114032,1e-04,0.00021801228285767138
32,0.00012152190902270377,1e-04,0.000218991277506575
33,0.00011818702478194609,1e-04,0.0002148903877241537
34,0.00011480201646918431,1e-04,0.00022117132903076708
35,0.00010941742948489264,1e-04,0.0002160756557714194
36,0.00010606151045067236,1e-04,0.00021584981004707515
37,0.00010294149979017675,1e-04,0.0002235928550362587
38,9.982626943383366e-05,1e-04,0.00021310038573574275
39,9.772373596206307e-05,1e-04,0.00022102864750195295
40,9.314635826740414e-05,1e-04,0.00021721640951000154
41,9.147376840701327e-05,1e-04,0.00021560979075729847
42,8.900400280253962e-05,1e-04,0.00021919123537372798
43,8.548663754481822e-05,1e-04,0.0002150266373064369
44,7.785045454511419e-05,5e-05,0.00021848869801033288
45,7.601732067996636e-05,5e-05,0.00021905999165028334
46,7.409806130453944e-05,5e-05,0.00021756181376986206
47,7.261935388669372e-05,5e-05,0.00021827421733178198
48,7.140303205233067e-05,5e-05,0.00022039422765374184
