epoch,loss,lr,val_loss
0,0.0007881587953306735,1e-04,0.0006575725856237113
1,0.0006447266787290573,1e-04,0.0006270355661399662
2,0.0006014523096382618,1e-04,0.0005490269977599382
3,0.0005106620374135673,1e-04,0.0004120473749935627
4,0.0003697581705637276,1e-04,0.00035112592740915716
5,0.0002911158080678433,1e-04,0.0002822870737873018
6,0.0002359318023081869,1e-04,0.00023157568648457527
7,0.00020249233057256788,1e-04,0.00023287208750844002
8,0.00016914727166295052,1e-04,0.00016299654089380056
9,0.00014094264770392329,1e-04,0.0002122502337442711
10,0.00012443220475688577,1e-04,0.00018255361646879464
11,0.00010699711128836498,1e-04,0.00017484379350207746
12,9.587957174517214e-05,1e-04,0.00015919216093607247
13,8.304927177960053e-05,1e-04,0.00016367598436772823
14,7.380469469353557e-05,1e-04,0.0001841690973378718
15,7.05941129126586e-05,1e-04,0.00016490470443386585
16,6.113197741797194e-05,1e-04,0.0001363214832963422
17,5.725215305574238e-05,1e-04,0.00016545782273169607
18,5.2012888772878796e-05,1e-04,0.00019664285355247557
19,4.43044955318328e-05,1e-04,0.00014956886298023164
20,4.291954974178225e-05,1e-04,0.00015549853560514748
21,3.747404844034463e-05,1e-04,0.00014649420336354524
22,2.9980144972796552e-05,5e-05,0.00015901231381576508
23,2.6544870706857182e-05,5e-05,0.00014219396689441055
24,2.4781056708889082e-05,5e-05,0.00013048372056800872
25,2.4014379960135557e-05,5e-05,0.0001389029057463631
26,2.456989386701025e-05,5e-05,0.00015988780069164932
27,2.3157326722866856e-05,5e-05,0.00015900742437224835
28,2.3146334569901228e-05,5e-05,0.00016137596685439348
29,2.1204692529863678e-05,5e-05,0.00014542975986842066
30,1.9439157767919824e-05,2.5e-05,0.00014069545431993902
31,1.8975024431711063e-05,2.5e-05,0.00016513626906089485
32,1.7969556211028248e-05,2.5e-05,0.00016280051204375923
33,1.8471133444109e-05,2.5e-05,0.00016661710105836391
34,1.8047430785372853e-05,2.5e-05,0.00013750462676398456
